,Currency,time_period_start,price_open,price_high,price_low,price_close,volume_traded,trades_count
566,BNB,2018-02-14,4.98271595,5.79111269,4.69248922,5.18600181,1200.21103867,237.0
567,BNB,2018-02-15,5.61189995,5.78904839,5.18600225,5.3600043,1091.77702592,227.0
568,BNB,2018-02-16,5.36000708,5.67906049,5.19,5.19,346.3568054,165.0
569,BNB,2018-02-17,5.57999803,5.70000001,4.96,5.70000001,466.03170049,114.0
570,BNB,2018-02-18,5.7522077,5.8,4.52999986,4.81,914.54318614,237.0
571,BNB,2018-02-19,4.81000013,5.6,4.81000011,4.85000144,259.69976219,120.0
572,BNB,2018-02-20,4.85000147,5.10535926,4.6,4.60010013,185.44573234,141.0
573,BNB,2018-02-21,4.60012001,5.7,4.000114,4.2011406,1130.64973004,258.0
574,BNB,2018-02-22,4.0014102,7.99999999,4.0014102,5.49,3135.07151695,369.0
575,BNB,2018-02-23,5.4855772,5.49,2.9,4.44143804,2750.40011713,371.0
576,BNB,2018-02-24,4.22660147,4.6905794,3.9,4.26256855,2032.12202731,80.0
577,BNB,2018-02-25,4.26256855,5.58,3.92625686,4.6146535,1918.40767221,241.0
578,BNB,2018-02-26,4.10515753,5.00000035,4.1,4.3,772.7018901,103.0
579,BNB,2018-02-27,4.30000001,5.5,4.10000001,4.99999999,2103.63706992,168.0
580,BNB,2018-02-28,4.72,4.9,4.36000001,4.46909999,471.3172438,123.0
581,BNB,2018-03-01,4.46910008,4.8,1.1,3.58199983,3888.37588645,379.0
582,BNB,2018-03-02,3.58199983,7.99960286,3.18268145,4.61845546,2420.82679189,328.0
583,BNB,2018-03-03,4.61845556,4.9,3.40000002,4.5,801.63686785,218.0
584,BNB,2018-03-04,3.80000066,4.79995,3.5,4.02708477,1313.20534071,277.0
585,BNB,2018-03-05,4.44999998,4.799953,3.51000017,3.89609995,1265.26320956,219.0
586,BNB,2018-03-06,3.89609998,4.79995268,3.87676372,4.16000001,894.56179332,178.0
587,BNB,2018-03-07,4.16000001,4.4372,3.80000001,4.19208146,424.33817337,88.0
588,BNB,2018-03-08,3.827326,3.8954214,3.21,3.37,551.84485433,138.0
589,BNB,2018-03-09,3.491111,3.72,3.1101,3.44353347,1106.57398966,170.0
590,BNB,2018-03-10,3.44353302,3.50000005,3.13623973,3.2029,571.92361625,121.0
591,BNB,2018-03-11,3.20289995,3.35,3.1201001,3.20000022,502.6789086,83.0
592,BNB,2018-03-12,3.34848937,3.34999,3.0005551,3.339,386.42660052,83.0
593,BNB,2018-03-13,3.3399998,3.49999975,2.5,3.27000002,1669.89829957,273.0
594,BNB,2018-03-14,3.26108361,3.31,2.72501702,2.80000037,918.20900553,185.0
595,BNB,2018-03-15,3.21669969,3.21669969,2.8,2.9,331.79512898,122.0
596,BNB,2018-03-16,2.84660671,3.0,2.66000034,2.74603842,147.96405957,61.0
597,BNB,2018-03-17,3.03425804,3.12020012,2.74603902,2.75800001,998.11643485,193.0
598,BNB,2018-03-18,2.77,2.94999999,2.55000111,2.6997953,656.23852612,87.0
599,BNB,2018-03-19,2.6900002,2.87999998,2.5076056,2.79758191,375.01210319,74.0
600,EOS,2017-07-31,1.7481,1.76,1.701,1.7013,174091.52831035,1682.0
601,EOS,2017-08-01,1.7186,1.8135,1.645,1.778,1806411.11797481,11482.0
602,EOS,2017-08-02,1.777,1.8018,1.673,1.7388,1215083.3222367,13188.0
603,EOS,2017-08-03,1.7496,1.8,1.7001,1.7799,922982.49022541,13992.0
604,EOS,2017-08-04,1.7799,1.84,1.7417,1.7622,1328027.91806857,17823.0
605,EOS,2017-08-05,1.7623,2.0,1.7294,1.853,2629994.62202008,26505.0
606,EOS,2017-08-06,1.8485,1.85999,1.7002,1.7538,1813020.28579336,18665.0
